Isolate,Collection_time,Country,Nextstrain_clade,Source
hCoV-19/Venezuela/1Z/2020.206/19B,2020.206,Venezuela,19B,GISAID
hCoV-19/EquatorialGuinea/253/2020.228/19B,2020.228,EquatorialGuinea,19B,GISAID
hCoV-19/Spain/VC-FISABIO-54/2020.16/19B,2020.16,Spain,19B,GISAID
hCoV-19/Kazakhstan/7263/2020.231/19B,2020.231,Kazakhstan,19B,GISAID
hCoV-19/Panama/GMI-PA396855/2020.482/19B,2020.482,Panama,19B,GISAID
hCoV-19/Panama/335026-GMI/2020.25/19B,2020.25,Panama,19B,GISAID
hCoV-19/Panama/GMI-PA389033/2020.463/19B,2020.463,Panama,19B,GISAID
hCoV-19/Panama/GMI-PA369152/2020.406/19B,2020.406,Panama,19B,GISAID
hCoV-19/Panama/334256/2020.234/19B,2020.234,Panama,19B,GISAID
hCoV-19/Panama/GMI-PA341363/2020.286/19B,2020.286,Panama,19B,GISAID
hCoV-19/Panama/GMI-PA342605/2020.291/19B,2020.291,Panama,19B,GISAID
hCoV-19/Panama/GMI-PA719359/2021.19/19B,2021.19,Panama,19B,GISAID
hCoV-19/Panama/GMI-PA641589/2021.012/19B,2021.012,Panama,19B,GISAID
hCoV-19/Panama/GMI-PA712609/2021.16/19B,2021.16,Panama,19B,GISAID
hCoV-19/Paraguay/iics_12209/2021.278/19B,2021.278,Paraguay,19B,GISAID
hCoV-19/Panama/PA766320-GMI/2021.538/19B,2021.538,Panama,19B,GISAID
hCoV-19/Panama/GMI-PA584303/2020.928/19B,2020.928,Panama,19B,GISAID
hCoV-19/Panama/GMI-PA700792/2021.119/19B,2021.119,Panama,19B,GISAID
hCoV-19/Panama/GMI-PABT9822/2021.341/19B,2021.341,Panama,19B,GISAID
hCoV-19/Panama/GMI-PA677127/2021.053/19B,2021.053,Panama,19B,GISAID
hCoV-19/Nicaragua/MAN-5869_01_SR1/2021.527/19B,2021.527,Nicaragua,19B,GISAID
hCoV-19/Panama/GMI-PA677161/2021.053/19B,2021.053,Panama,19B,GISAID
hCoV-19/Honduras/CM-USAFSAM-S4223/2021.401/19B,2021.401,Honduras,19B,GISAID
hCoV-19/Nicaragua/MAN-57986/2021.147/19B,2021.147,Nicaragua,19B,GISAID
hCoV-19/Nicaragua/MAN-112497/2021.547/19B,2021.547,Nicaragua,19B,GISAID
hCoV-19/CostaRica/INC-0547/2021.245/19B,2021.245,CostaRica,19B,GISAID
hCoV-19/CostaRica/INC-0571/2021.27/19B,2021.27,CostaRica,19B,GISAID
hCoV-19/Belize/CML-114/2021.486/19B,2021.486,Belize,19B,GISAID
hCoV-19/Guatemala/ASI4237/2021.527/19B,2021.527,Guatemala,19B,GISAID
hCoV-19/Guatemala/ASI3038/2021.47/19B,2021.47,Guatemala,19B,GISAID
hCoV-19/Guatemala/ASI3048/2021.445/19B,2021.445,Guatemala,19B,GISAID
hCoV-19/Kyrgyzstan/NRL-455/2020.318/19B,2020.318,Kyrgyzstan,19B,GISAID
hCoV-19/Coted-Ivoire/BKE0965/2020.676/19B,2020.676,Coted-Ivoire,19B,GISAID
hCoV-19/BurkinaFaso/CV1806/2020.969/19B,2020.969,BurkinaFaso,19B,GISAID
hCoV-19/Mali/M00959/2020.441/19B,2020.441,Mali,19B,GISAID
hCoV-19/Coted-Ivoire/BKE1695-bc82/2021.056/19B,2021.056,Coted-Ivoire,19B,GISAID
hCoV-19/CentralAfricanRepublic/23743/2020.898/19B,2020.898,CentralAfricanRepublic,19B,GISAID
hCoV-19/BurkinaFaso/3570/2020.772/19B,2020.772,BurkinaFaso,19B,GISAID
hCoV-19/BurkinaFaso/2598/2020.704/19B,2020.704,BurkinaFaso,19B,GISAID
hCoV-19/BurkinaFaso/CHUSS_4753/2020.903/19B,2020.903,BurkinaFaso,19B,GISAID
hCoV-19/Somalia/CV1159/2020.518/19B,2020.518,Somalia,19B,GISAID
hCoV-19/Sudan/N6669/2020.764/19B,2020.764,Sudan,19B,GISAID
hCoV-19/Bahrain/BAH-12/2020.245/19B,2020.245,Bahrain,19B,GISAID
hCoV-19/Sweden/20-22156/2020.425/19B,2020.425,Sweden,19B,GISAID
hCoV-19/Denmark/DCGC-2446/2020.608/19B,2020.608,Denmark,19B,GISAID
hCoV-19/Uganda/UG017/2020.302/19B,2020.302,Uganda,19B,GISAID
hCoV-19/Kenya/BCRH-1204-20/2020.695/19B,2020.695,Kenya,19B,GISAID
hCoV-19/Zambia/ZMB-1241/2020.266/19B,2020.266,Zambia,19B,GISAID
hCoV-19/Cambodia/127828/2020.911/19B,2020.911,Cambodia,19B,GISAID
hCoV-19/Uganda/UG146/2020.668/19B,2020.668,Uganda,19B,GISAID
hCoV-19/Uganda/UG219/2021.051/19B,2021.051,Uganda,19B,GISAID
hCoV-19/Rwanda/NRLNAT4046/2021.221/19B,2021.221,Rwanda,19B,GISAID
hCoV-19/Rwanda/NRLNAT4038/2021.295/19B,2021.295,Rwanda,19B,GISAID
hCoV-19/Uganda/087/2021.585/19B,2021.585,Uganda,19B,GISAID
hCoV-19/Rwanda/CV2186/2021.221/19B,2021.221,Rwanda,19B,GISAID
hCoV-19/Rwanda/NRLNAT4009/2021.127/19B,2021.127,Rwanda,19B,GISAID
hCoV-19/Oman/89477/2020.974/19B,2020.974,Oman,19B,GISAID
hCoV-19/Jordan/IR-ALSR-2578/2020.482/19B,2020.482,Jordan,19B,GISAID
hCoV-19/GuineaBissau/52LNSPGB/2020.223/19B,2020.223,GuineaBissau,19B,GISAID
hCoV-19/Niger/73/2020.231/19B,2020.231,Niger,19B,GISAID
