Isolate,Collection_time,Country,Nextstrain_clade,Source
hCoV-19/Mexico/HIMFG-5963/2021.552/21J-Delta,2021.552,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/VER-InDRE_FB50507_S9501/2021.818/21J-Delta,2021.818,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/HID-INMEGEN-36-141/2021.856/21J-Delta,2021.856,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/AGU_InDRE_FB51616_S9856/2021.859/21J-Delta,2021.859,Mexico,21J-Delta,GISAID
hCoV-19/Guatemala/ASI4599/2021.73/21J-Delta,2021.73,Guatemala,21J-Delta,GISAID
hCoV-19/USA/AZ-CDC-ASC210499029/2021.821/21J-Delta,2021.821,USA,21J-Delta,GISAID
hCoV-19/Mexico/CMX-CEMENAV-SEMAR-5631/2021.505/21J-Delta,2021.505,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/CMX-INMEGEN-25-238/2021.637/21J-Delta,2021.637,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/HIMFG-8361/2021.703/21J-Delta,2021.703,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/PUE-LABOPAT-80_27103/2021.519/21J-Delta,2021.519,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/COA_LANGEBIO_IMSS_4544/2021.96/21J-Delta,2021.96,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/AGU-LESP-32989-S6/2021.925/21J-Delta,2021.925,Mexico,21J-Delta,GISAID
hCoV-19/Argentina/INEI110645/2021.684/21J-Delta,2021.684,Argentina,21J-Delta,GISAID
hCoV-19/Mexico/TAB-INMEGEN-28-358/2021.703/21J-Delta,2021.703,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/MEX-INMEGEN-21-145/2021.599/21J-Delta,2021.599,Mexico,21J-Delta,GISAID
hCoV-19/USA/IN-CDC-STM-000073703/2021.358/21J-Delta,2021.358,USA,21J-Delta,GISAID
hCoV-19/USA/IN-CDC-ASC210445577/2021.823/21J-Delta,2021.823,USA,21J-Delta,GISAID
hCoV-19/Australia/SA0856/2021.549/21J-Delta,2021.549,Australia,21J-Delta,GISAID
hCoV-19/Australia/ACT1618/2021.804/21J-Delta,2021.804,Australia,21J-Delta,GISAID
hCoV-19/Australia/NSW-ICPMR-1289/2021.571/21J-Delta,2021.571,Australia,21J-Delta,GISAID
hCoV-19/Australia/VIC25763/2021.76/21J-Delta,2021.76,Australia,21J-Delta,GISAID
hCoV-19/Australia/NT-RDH-47/2021.892/21J-Delta,2021.892,Australia,21J-Delta,GISAID
hCoV-19/Australia/NSW-ICPMR-5295/2021.637/21J-Delta,2021.637,Australia,21J-Delta,GISAID
hCoV-19/Australia/ACT0180/2021.632/21J-Delta,2021.632,Australia,21J-Delta,GISAID
hCoV-19/NewZealand/21MV1422/2021.662/21J-Delta,2021.662,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21CV1489/2021.818/21J-Delta,2021.818,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21MV1982/2021.768/21J-Delta,2021.768,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21CV0242/2021.632/21J-Delta,2021.632,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21CH0112/2021.634/21J-Delta,2021.634,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21CV3837/2021.96/21J-Delta,2021.96,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21CV2728/2021.867/21J-Delta,2021.867,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21MV3439/2021.922/21J-Delta,2021.922,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21MV3139/2021.867/21J-Delta,2021.867,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21MV3358/2021.905/21J-Delta,2021.905,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/22CH0553/2021.988/21J-Delta,2021.988,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21CV2845/2021.873/21J-Delta,2021.873,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/22CV0056/2021.993/21J-Delta,2021.993,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21KV0756/2021.903/21J-Delta,2021.903,NewZealand,21J-Delta,GISAID
hCoV-19/NewZealand/21MV3301/2021.884/21J-Delta,2021.884,NewZealand,21J-Delta,GISAID
hCoV-19/USA/WY-WYPHL-21041519/2021.448/21J-Delta,2021.448,USA,21J-Delta,GISAID
hCoV-19/USA/ME-HETL-J5079/2021.574/21J-Delta,2021.574,USA,21J-Delta,GISAID
hCoV-19/USA/RI-CDC-LC0218364/2021.642/21J-Delta,2021.642,USA,21J-Delta,GISAID
hCoV-19/USA/FL-CDC-STM-000727770/2021.667/21J-Delta,2021.667,USA,21J-Delta,GISAID
hCoV-19/USA/PA-CDC-LC0350653/2021.796/21J-Delta,2021.796,USA,21J-Delta,GISAID
hCoV-19/USA/LA-CDC-ASC210247842/2021.566/21J-Delta,2021.566,USA,21J-Delta,GISAID
hCoV-19/USA/CT-Yale-11530/2021.755/21J-Delta,2021.755,USA,21J-Delta,GISAID
hCoV-19/SouthKorea/KDCA10291/2021.632/21J-Delta,2021.632,SouthKorea,21J-Delta,GISAID
hCoV-19/USA/LA-BIE-LSUH001410/2021.538/21J-Delta,2021.538,USA,21J-Delta,GISAID
hCoV-19/Argentina/INEI114761/2021.936/21J-Delta,2021.936,Argentina,21J-Delta,GISAID
hCoV-19/USA/NH-CDC-QDX30215556/2021.796/21J-Delta,2021.796,USA,21J-Delta,GISAID
hCoV-19/Aruba/AW-RIVM-65059/2021.355/21J-Delta,2021.355,Aruba,21J-Delta,GISAID
hCoV-19/Aruba/AW-RIVM-50430/2021.571/21J-Delta,2021.571,Aruba,21J-Delta,GISAID
hCoV-19/CostaRica/INC-2247-722412/2021.93/21J-Delta,2021.93,CostaRica,21J-Delta,GISAID
hCoV-19/USA/TN-VUMC-O-0413/2021.922/21J-Delta,2021.922,USA,21J-Delta,GISAID
hCoV-19/Canada/NB-CHUDGLD-0412-MM00690R/2021.925/21J-Delta,2021.925,Canada,21J-Delta,GISAID
hCoV-19/USA/FL-BPHL-15947/2021.623/21J-Delta,2021.623,USA,21J-Delta,GISAID
hCoV-19/Colombia/ICE-SCOV-538/2021.799/21J-Delta,2021.799,Colombia,21J-Delta,GISAID
hCoV-19/Peru/LIM-INS-7445/2021.733/21J-Delta,2021.733,Peru,21J-Delta,GISAID
hCoV-19/Chile/LL-UACH-00616/2021.818/21J-Delta,2021.818,Chile,21J-Delta,GISAID
hCoV-19/Bolivia/SAN-UPCH-3348/2021.996/21J-Delta,2021.996,Bolivia,21J-Delta,GISAID
hCoV-19/TrinidadandTobago/112489/2021.958/21J-Delta,2021.958,TrinidadandTobago,21J-Delta,GISAID
hCoV-19/TrinidadandTobago/89823/2021.807/21J-Delta,2021.807,TrinidadandTobago,21J-Delta,GISAID
hCoV-19/TrinidadandTobago/75440/2021.689/21J-Delta,2021.689,TrinidadandTobago,21J-Delta,GISAID
hCoV-19/Qatar/QA.QU.20.7.B9/2021.673/21J-Delta,2021.673,Qatar,21J-Delta,GISAID
hCoV-19/Syria/Northwest-0010/2021.916/21J-Delta,2021.916,Syria,21J-Delta,GISAID
hCoV-19/Qatar/QA.QU_18.19.C1/2021.432/21J-Delta,2021.432,Qatar,21J-Delta,GISAID
hCoV-19/UnitedArabEmirates/BTC-9612/2021.881/21J-Delta,2021.881,UnitedArabEmirates,21J-Delta,GISAID
hCoV-19/Austria/CeMM12660/2021.489/21J-Delta,2021.489,Austria,21J-Delta,GISAID
hCoV-19/Paraguay/275256/2021.818/21J-Delta,2021.818,Paraguay,21J-Delta,GISAID
hCoV-19/Brazil/BA-FIOCRUZ-PVM85819/2021.667/21J-Delta,2021.667,Brazil,21J-Delta,GISAID
hCoV-19/Brazil/SP-IB_RP134016/2021.84/21J-Delta,2021.84,Brazil,21J-Delta,GISAID
hCoV-19/Brazil/RJ-NVBS5590GENOV700931980586/2021.612/21J-Delta,2021.612,Brazil,21J-Delta,GISAID
hCoV-19/India/TG-CCMB-CIA3135/2021.371/21J-Delta,2021.371,India,21J-Delta,GISAID
hCoV-19/Paraguay/385078/2022.045/21J-Delta,2022.045,Paraguay,21J-Delta,GISAID
hCoV-19/Paraguay/281459/2021.837/21J-Delta,2021.837,Paraguay,21J-Delta,GISAID
hCoV-19/Panama/GMI-PAM83006/2021.716/21J-Delta,2021.716,Panama,21J-Delta,GISAID
hCoV-19/Mexico/DUR_LANGEBIO_IMSS_3187/2021.826/21J-Delta,2021.826,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/OAX-INMEGEN-30-1/2021.741/21J-Delta,2021.741,Mexico,21J-Delta,GISAID
hCoV-19/Mexico/TAB-INMEGEN-38-127/2021.873/21J-Delta,2021.873,Mexico,21J-Delta,GISAID
hCoV-19/USA/NM-CDC-IBX091049096435/2021.875/21J-Delta,2021.875,USA,21J-Delta,GISAID
hCoV-19/USA/GA-CDC-LC0331003/2021.777/21J-Delta,2021.777,USA,21J-Delta,GISAID
hCoV-19/Ecuador/USFQ-2458/2021.968/21J-Delta,2021.968,Ecuador,21J-Delta,GISAID
hCoV-19/ElSalvador/INC-LNSP-071/2021.845/21J-Delta,2021.845,ElSalvador,21J-Delta,GISAID
hCoV-19/FrenchPolynesia/IPP44390/2021.881/21J-Delta,2021.881,FrenchPolynesia,21J-Delta,GISAID
hCoV-19/ElSalvador/INC-LNSP-099/2021.905/21J-Delta,2021.905,ElSalvador,21J-Delta,GISAID
hCoV-19/Guatemala/INC-LNS-051/2021.774/21J-Delta,2021.774,Guatemala,21J-Delta,GISAID
hCoV-19/Guatemala/INC-LNS-006/2021.67/21J-Delta,2021.67,Guatemala,21J-Delta,GISAID
hCoV-19/Guatemala/ASI4489/2021.697/21J-Delta,2021.697,Guatemala,21J-Delta,GISAID
hCoV-19/Guatemala/ASI4580/2021.736/21J-Delta,2021.736,Guatemala,21J-Delta,GISAID
hCoV-19/Guatemala/INC-LNS-101/2021.845/21J-Delta,2021.845,Guatemala,21J-Delta,GISAID
hCoV-19/Slovenia/21-10961/2021.684/21J-Delta,2021.684,Slovenia,21J-Delta,GISAID
hCoV-19/DominicanRepublic/1440857/2021.275/21J-Delta,2021.275,DominicanRepublic,21J-Delta,GISAID
hCoV-19/Portugal/PT24053/2021.966/21J-Delta,2021.966,Portugal,21J-Delta,GISAID
hCoV-19/Poland/PZH-GUM-2991/2021.859/21J-Delta,2021.859,Poland,21J-Delta,GISAID
hCoV-19/Albania/244365/2021.895/21J-Delta,2021.895,Albania,21J-Delta,GISAID
hCoV-19/Armenia/IMB8-8/2021.593/21J-Delta,2021.593,Armenia,21J-Delta,GISAID
hCoV-19/Germany/BW-RKI-I-322675/2021.807/21J-Delta,2021.807,Germany,21J-Delta,GISAID
hCoV-19/Montenegro/CO-00421_MNE000_2668592102/2021.607/21J-Delta,2021.607,Montenegro,21J-Delta,GISAID
hCoV-19/Italy/LAZ-INMI-2541/2021.785/21J-Delta,2021.785,Italy,21J-Delta,GISAID
hCoV-19/Romania/DJ89633/2021.727/21J-Delta,2021.727,Romania,21J-Delta,GISAID
hCoV-19/France/IDF-HCL021157120301/2021.634/21J-Delta,2021.634,France,21J-Delta,GISAID
hCoV-19/Uruguay/DLSP_p2317/2021.853/21J-Delta,2021.853,Uruguay,21J-Delta,GISAID
hCoV-19/Norway/31438/2021.927/21J-Delta,2021.927,Norway,21J-Delta,GISAID
hCoV-19/Germany/NW-RKI-I-214310/2021.648/21J-Delta,2021.648,Germany,21J-Delta,GISAID
hCoV-19/Croatia/9090/2021.634/21J-Delta,2021.634,Croatia,21J-Delta,GISAID
hCoV-19/Greece/V4557/2021.832/21J-Delta,2021.832,Greece,21J-Delta,GISAID
hCoV-19/Sweden/20879229P/2021.785/21J-Delta,2021.785,Sweden,21J-Delta,GISAID
hCoV-19/Switzerland/BL-UHB-43191529/2021.911/21J-Delta,2021.911,Switzerland,21J-Delta,GISAID
hCoV-19/Chile/RM-194698/2021.955/21J-Delta,2021.955,Chile,21J-Delta,GISAID
hCoV-19/Greece/312008/2021.895/21J-Delta,2021.895,Greece,21J-Delta,GISAID
hCoV-19/Austria/CeMM19178/2021.793/21J-Delta,2021.793,Austria,21J-Delta,GISAID
hCoV-19/Germany/BW-RKI-I-362739/2021.911/21J-Delta,2021.911,Germany,21J-Delta,GISAID
hCoV-19/Argentina/INEI112237/2021.796/21J-Delta,2021.796,Argentina,21J-Delta,GISAID
hCoV-19/EquatorialGuinea/61992/2021.568/21J-Delta,2021.568,EquatorialGuinea,21J-Delta,GISAID
hCoV-19/Uruguay/DLSP_6041/2021.785/21J-Delta,2021.785,Uruguay,21J-Delta,GISAID
hCoV-19/Uruguay/DLSP_5827/2021.725/21J-Delta,2021.725,Uruguay,21J-Delta,GISAID
hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI581/2021.845/21J-Delta,2021.845,BosniaandHerzegovina,21J-Delta,GISAID
hCoV-19/France/ARA-HCL021197070701/2021.837/21J-Delta,2021.837,France,21J-Delta,GISAID
hCoV-19/Suriname/SR-748/2021.758/21J-Delta,2021.758,Suriname,21J-Delta,GISAID
hCoV-19/Suriname/SR-911/2021.993/21J-Delta,2021.993,Suriname,21J-Delta,GISAID
hCoV-19/Suriname/SR-692/2021.716/21J-Delta,2021.716,Suriname,21J-Delta,GISAID
hCoV-19/Suriname/SR-842/2021.895/21J-Delta,2021.895,Suriname,21J-Delta,GISAID
hCoV-19/Latvia/3806784/2021.993/21J-Delta,2021.993,Latvia,21J-Delta,GISAID
hCoV-19/Cyprus/BMV1394/2021.418/21J-Delta,2021.418,Cyprus,21J-Delta,GISAID
hCoV-19/Mozambique/COV-2259-A1907/2021.478/21J-Delta,2021.478,Mozambique,21J-Delta,GISAID
hCoV-19/Mozambique/CERI-KRISP-K027990/2021.7/21J-Delta,2021.7,Mozambique,21J-Delta,GISAID
hCoV-19/Israel/SMC-7024124/2021.9/21J-Delta,2021.9,Israel,21J-Delta,GISAID
hCoV-19/Venezuela/Car67/2021.862/21J-Delta,2021.862,Venezuela,21J-Delta,GISAID
hCoV-19/Belarus/HR-CRIE-7724094794/2021.916/21J-Delta,2021.916,Belarus,21J-Delta,GISAID
hCoV-19/Belarus/VI-CRIE-7724096736/2021.958/21J-Delta,2021.958,Belarus,21J-Delta,GISAID
hCoV-19/Seychelles/SS4862/2021.911/21J-Delta,2021.911,Seychelles,21J-Delta,GISAID
hCoV-19/Seychelles/SS4729/2021.875/21J-Delta,2021.875,Seychelles,21J-Delta,GISAID
hCoV-19/Seychelles/SS3592/2021.716/21J-Delta,2021.716,Seychelles,21J-Delta,GISAID
hCoV-19/Seychelles/SS2695/2021.648/21J-Delta,2021.648,Seychelles,21J-Delta,GISAID
hCoV-19/Slovenia/08-150288-MB/2021.612/21J-Delta,2021.612,Slovenia,21J-Delta,GISAID
hCoV-19/Kosovo/CO-00634-XXK000_9801/2021.99/21J-Delta,2021.99,Kosovo,21J-Delta,GISAID
hCoV-19/Tunisia/S-0820/2021.497/21J-Delta,2021.497,Tunisia,21J-Delta,GISAID
hCoV-19/Tunisia/S-1479/2021.856/21J-Delta,2021.856,Tunisia,21J-Delta,GISAID
hCoV-19/Tunisia/F-1091/2021.612/21J-Delta,2021.612,Tunisia,21J-Delta,GISAID
hCoV-19/Tunisia/152103/2022.218/21J-Delta,2022.218,Tunisia,21J-Delta,GISAID
hCoV-19/Madagascar/LA2M-165256/2021.947/21J-Delta,2021.947,Madagascar,21J-Delta,GISAID
hCoV-19/Madagascar/LA2M-177385/2021.979/21J-Delta,2021.979,Madagascar,21J-Delta,GISAID
hCoV-19/Madagascar/IPM-09992/2021.9/21J-Delta,2021.9,Madagascar,21J-Delta,GISAID
hCoV-19/Madagascar/LA2M-165254/2021.947/21J-Delta,2021.947,Madagascar,21J-Delta,GISAID
hCoV-19/Madagascar/LA2M-180234/2021.985/21J-Delta,2021.985,Madagascar,21J-Delta,GISAID
hCoV-19/Belarus/VI-RRPCEM-VIS_10011/2021.832/21J-Delta,2021.832,Belarus,21J-Delta,GISAID
hCoV-19/Moldova/A0063_2021_09_01/2021.67/21J-Delta,2021.67,Moldova,21J-Delta,GISAID
hCoV-19/BosniaandHerzegovina/165128/2021.579/21J-Delta,2021.579,BosniaandHerzegovina,21J-Delta,GISAID
hCoV-19/Cyprus/CING_45_1611_Ni/2021.875/21J-Delta,2021.875,Cyprus,21J-Delta,GISAID
hCoV-19/Cyprus/BMV2029/2021.681/21J-Delta,2021.681,Cyprus,21J-Delta,GISAID
hCoV-19/UnitedArabEmirates/BTC-9045/2021.785/21J-Delta,2021.785,UnitedArabEmirates,21J-Delta,GISAID
hCoV-19/Russia/CHU-CRIE-L219B0032/2021.527/21J-Delta,2021.527,Russia,21J-Delta,GISAID
hCoV-19/Austria/CeMM14087/2021.563/21J-Delta,2021.563,Austria,21J-Delta,GISAID
hCoV-19/BosniaandHerzegovina/165930/2021.596/21J-Delta,2021.596,BosniaandHerzegovina,21J-Delta,GISAID
hCoV-19/Montenegro/CO-00421_MNE000_2922062102/2021.678/21J-Delta,2021.678,Montenegro,21J-Delta,GISAID
hCoV-19/Cyprus/BMV1483/2021.492/21J-Delta,2021.492,Cyprus,21J-Delta,GISAID
hCoV-19/Slovenia/5C-055043-KP/2021.864/21J-Delta,2021.864,Slovenia,21J-Delta,GISAID
hCoV-19/Moldova/A0093_2021_10_22/2021.807/21J-Delta,2021.807,Moldova,21J-Delta,GISAID
hCoV-19/Israel/SMC-7003934/2021.47/21J-Delta,2021.47,Israel,21J-Delta,GISAID
hCoV-19/PDL/IPP37485/2021.823/21J-Delta,2021.823,PDL,21J-Delta,GISAID
hCoV-19/Ecuador/USFQ-2218/2021.807/21J-Delta,2021.807,Ecuador,21J-Delta,GISAID
hCoV-19/Ecuador/NIC-INSPI-101147/2021.853/21J-Delta,2021.853,Ecuador,21J-Delta,GISAID
hCoV-19/Uzbekistan/Tashkent-CGB-37/2021.558/21J-Delta,2021.558,Uzbekistan,21J-Delta,GISAID
hCoV-19/Belarus/MI-CRIE-L219C0047u_5735/2021.667/21J-Delta,2021.667,Belarus,21J-Delta,GISAID
hCoV-19/Latvia/3339/2021.607/21J-Delta,2021.607,Latvia,21J-Delta,GISAID
hCoV-19/Serbia/Belgrade-3458610907/2021.519/21J-Delta,2021.519,Serbia,21J-Delta,GISAID
hCoV-19/Moldova/A0047_2021_10_22/2021.807/21J-Delta,2021.807,Moldova,21J-Delta,GISAID
hCoV-19/Crimea/43-CRIE-L106S1199u_4018/2021.9/21J-Delta,2021.9,Crimea,21J-Delta,GISAID
hCoV-19/Estonia/RC0025170/2021.508/21J-Delta,2021.508,Estonia,21J-Delta,GISAID
hCoV-19/Azerbaijan/un-ChVir28823/2021.604/21J-Delta,2021.604,Azerbaijan,21J-Delta,GISAID
hCoV-19/Azerbaijan/un-ChVir28821/2021.623/21J-Delta,2021.623,Azerbaijan,21J-Delta,GISAID
hCoV-19/Venezuela/Lar82/2021.804/21J-Delta,2021.804,Venezuela,21J-Delta,GISAID
hCoV-19/Estonia/RC0281812/2021.985/21J-Delta,2021.985,Estonia,21J-Delta,GISAID
hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI103/2021.705/21J-Delta,2021.705,BosniaandHerzegovina,21J-Delta,GISAID
hCoV-19/Curacao/CW-RIVM-76468/2021.892/21J-Delta,2021.892,Curacao,21J-Delta,GISAID
hCoV-19/Kosovo/CO-00491-XXK000_4320/2021.788/21J-Delta,2021.788,Kosovo,21J-Delta,GISAID
hCoV-19/Qatar/QA.QU.18.28.C1/2021.752/21J-Delta,2021.752,Qatar,21J-Delta,GISAID
hCoV-19/Russia/YAR-CRIE-L189V0535_1019/2021.823/21J-Delta,2021.823,Russia,21J-Delta,GISAID
hCoV-19/Russia/MOW-PMVL-DZ-22713040779/2021.979/21J-Delta,2021.979,Russia,21J-Delta,GISAID
hCoV-19/Mongolia/10011948/2021.958/21J-Delta,2021.958,Mongolia,21J-Delta,GISAID
hCoV-19/Peru/LIM-UPCH-2188/2021.941/21J-Delta,2021.941,Peru,21J-Delta,GISAID
hCoV-19/Lithuania/LTU000_VULSK_210723120086/2021.558/21J-Delta,2021.558,Lithuania,21J-Delta,GISAID
hCoV-19/Lebanon/6581/2021.804/21J-Delta,2021.804,Lebanon,21J-Delta,GISAID
hCoV-19/Laos/LOMWRU-0544/2022.122/21J-Delta,2022.122,Laos,21J-Delta,GISAID
hCoV-19/USA/NE-NCOV21-25271/2021.566/21J-Delta,2021.566,USA,21J-Delta,GISAID
hCoV-19/NewZealand/21CH0796/2021.895/21J-Delta,2021.895,NewZealand,21J-Delta,GISAID
hCoV-19/Bonaire/BQ-RIVM-60399/2021.7/21J-Delta,2021.7,Bonaire,21J-Delta,GISAID
hCoV-19/Australia/SA1024/2021.897/21J-Delta,2021.897,Australia,21J-Delta,GISAID
hCoV-19/USA/MA-CDCBI-CRSP_X2JXLQH4NMNEJY7L/2021.821/21J-Delta,2021.821,USA,21J-Delta,GISAID
hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2346/2021.845/21J-Delta,2021.845,Bolivia,21J-Delta,GISAID
hCoV-19/Ecuador/NIC-INSPI-349383/2021.651/21J-Delta,2021.651,Ecuador,21J-Delta,GISAID
hCoV-19/USA/MA-CDCBI-CRSP_QZ5LTAQRBRM5IS77/2021.645/21J-Delta,2021.645,USA,21J-Delta,GISAID
hCoV-19/Montenegro/CO-00531_MNE000_5460202102/2021.829/21J-Delta,2021.829,Montenegro,21J-Delta,GISAID
hCoV-19/Mauritius/CERI-KRISP-K033127/2021.905/21J-Delta,2021.905,Mauritius,21J-Delta,GISAID
hCoV-19/Nepal/EPN-K2474/2021.864/21J-Delta,2021.864,Nepal,21J-Delta,GISAID
hCoV-19/Myanmar/DSMRC-054/2021.93/21J-Delta,2021.93,Myanmar,21J-Delta,GISAID
hCoV-19/Morocco/165/2021.982/21J-Delta,2021.982,Morocco,21J-Delta,GISAID
hCoV-19/Monaco/IPP24115/2021.585/21J-Delta,2021.585,Monaco,21J-Delta,GISAID
hCoV-19/Italy/PUG_UNIBA_APU-BA360/2021.788/21J-Delta,2021.788,Italy,21J-Delta,GISAID
hCoV-19/France/ARA-HCL021231741001/2021.911/21J-Delta,2021.911,France,21J-Delta,GISAID
hCoV-19/Malta/MDxMDH690/2021.832/21J-Delta,2021.832,Malta,21J-Delta,GISAID
hCoV-19/Cyprus/BMV2147/2021.703/21J-Delta,2021.703,Cyprus,21J-Delta,GISAID
hCoV-19/Japan/PG-175178/2021.859/21J-Delta,2021.859,Japan,21J-Delta,GISAID
hCoV-19/Japan/PG-173962/2021.974/21J-Delta,2021.974,Japan,21J-Delta,GISAID
hCoV-19/Japan/PG-80815/2021.456/21J-Delta,2021.456,Japan,21J-Delta,GISAID
hCoV-19/Japan/PG-143914/2021.629/21J-Delta,2021.629,Japan,21J-Delta,GISAID
hCoV-19/Japan/PG-176863/2021.999/21J-Delta,2021.999,Japan,21J-Delta,GISAID
hCoV-19/Albania/244214/2021.895/21J-Delta,2021.895,Albania,21J-Delta,GISAID
hCoV-19/France/GES-HMN-21102210188/2021.799/21J-Delta,2021.799,France,21J-Delta,GISAID
hCoV-19/Spain/NC-CHN-01005292/2021.796/21J-Delta,2021.796,Spain,21J-Delta,GISAID
hCoV-19/Iceland/DCGN-0008464/2021.914/21J-Delta,2021.914,Iceland,21J-Delta,GISAID
hCoV-19/Maldives/MAV93660/2021.963/21J-Delta,2021.963,Maldives,21J-Delta,GISAID
hCoV-19/Aruba/AW-RIVM-72587/2021.9/21J-Delta,2021.9,Aruba,21J-Delta,GISAID
hCoV-19/Romania/SV_SJU_46292/2021.763/21J-Delta,2021.763,Romania,21J-Delta,GISAID
hCoV-19/Germany/BW-RKI-I-256106/2021.711/21J-Delta,2021.711,Germany,21J-Delta,GISAID
hCoV-19/Russia/YAR-CRIE-D190P0003/2021.812/21J-Delta,2021.812,Russia,21J-Delta,GISAID
hCoV-19/Turkey/HSGM-F3358/2021.892/21J-Delta,2021.892,Turkey,21J-Delta,GISAID
hCoV-19/Netherlands/OV-GD-13279045/2021.758/21J-Delta,2021.758,Netherlands,21J-Delta,GISAID
hCoV-19/Qatar/QA.QU..19.5.E7/2021.623/21J-Delta,2021.623,Qatar,21J-Delta,GISAID
hCoV-19/Georgia/Tb-SNGS1508/2021.758/21J-Delta,2021.758,Georgia,21J-Delta,GISAID
hCoV-19/Georgia/Tb-S1403/2021.722/21J-Delta,2021.722,Georgia,21J-Delta,GISAID
hCoV-19/Romania/B-16798/2021.489/21J-Delta,2021.489,Romania,21J-Delta,GISAID
hCoV-19/CzechRepublic/FNHK-Ps-000268/2021.681/21J-Delta,2021.681,CzechRepublic,21J-Delta,GISAID
hCoV-19/Luxembourg/LNS5424829/2021.637/21J-Delta,2021.637,Luxembourg,21J-Delta,GISAID
hCoV-19/Sweden/20557298P/2021.574/21J-Delta,2021.574,Sweden,21J-Delta,GISAID
hCoV-19/Turkey/HSGM-E6184/2021.692/21J-Delta,2021.692,Turkey,21J-Delta,GISAID
hCoV-19/Iran/AK06149NGS/2021.714/21J-Delta,2021.714,Iran,21J-Delta,GISAID
hCoV-19/Iran/49809/2021.544/21J-Delta,2021.544,Iran,21J-Delta,GISAID
hCoV-19/Ukraine/CGZ-15/2021.853/21J-Delta,2021.853,Ukraine,21J-Delta,GISAID
hCoV-19/Iran/AL2210/2021.796/21J-Delta,2021.796,Iran,21J-Delta,GISAID
hCoV-19/Mongolia/10011934/2021.919/21J-Delta,2021.919,Mongolia,21J-Delta,GISAID
hCoV-19/Mongolia/UB-422853/2021.982/21J-Delta,2021.982,Mongolia,21J-Delta,GISAID
hCoV-19/Zambia/ZMB-112851/2021.552/21J-Delta,2021.552,Zambia,21J-Delta,GISAID
hCoV-19/Zambia/ZMB-97822/2021.393/21J-Delta,2021.393,Zambia,21J-Delta,GISAID
hCoV-19/USA/NV-CDC-QDX30084695/2021.788/21J-Delta,2021.788,USA,21J-Delta,GISAID
hCoV-19/Jamaica/JPL1619590/2021.823/21J-Delta,2021.823,Jamaica,21J-Delta,GISAID
hCoV-19/Jamaica/202112047/2021.867/21J-Delta,2021.867,Jamaica,21J-Delta,GISAID
hCoV-19/Latvia/3667611/2021.941/21J-Delta,2021.941,Latvia,21J-Delta,GISAID
hCoV-19/Romania/B-36568/2021.864/21J-Delta,2021.864,Romania,21J-Delta,GISAID
hCoV-19/Nepal/NPHL/S-282/2021.947/21J-Delta,2021.947,Nepal,21J-Delta,GISAID
hCoV-19/Jordan/RMSR5S12/2021.741/21J-Delta,2021.741,Jordan,21J-Delta,GISAID
hCoV-19/India/KA-NIMH-SEQ-925/2021.352/21J-Delta,2021.352,India,21J-Delta,GISAID
hCoV-19/Nepal/NPHL-S-314/2021.664/21J-Delta,2021.664,Nepal,21J-Delta,GISAID
hCoV-19/Mauritius/CERI-KRISP-K033305/2021.897/21J-Delta,2021.897,Mauritius,21J-Delta,GISAID
hCoV-19/Andorra/AND-247_213001323001_COV-GC/2021.807/21J-Delta,2021.807,Andorra,21J-Delta,GISAID
hCoV-19/Andorra/AND-247_213001322901_COV-GC/2021.79/21J-Delta,2021.79,Andorra,21J-Delta,GISAID
hCoV-19/CostaRica/INC-1648-713328/2021.823/21J-Delta,2021.823,CostaRica,21J-Delta,GISAID
hCoV-19/Nicaragua/CNDR-126126/2021.623/21J-Delta,2021.623,Nicaragua,21J-Delta,GISAID
hCoV-19/Mexico/OAX-INMEGEN-36-184/2021.842/21J-Delta,2021.842,Mexico,21J-Delta,GISAID
