Isolate,Accession_number,Collection_time,Location,Global_clade,Source
A/Bhutan/1287/2022/2022.738/2a.3b,EPI_ISL_15929624,2022.738,Bhutan,2a.3b,GISAID
A/AbuDhabi/3550500/2021/2021.971/2a.3b,EPI_ISL_8808408,2021.971,AbuDhabi,2a.3b,GISAID
A/SriLanka/6/2023/2023.045/2a.3b,EPI_ISL_16899230,2023.045,SriLanka,2a.3b,GISAID
A/SriLanka/25/2022/2022.988/2a.3b,EPI_ISL_16899226,2022.988,SriLanka,2a.3b,GISAID
A/SriLanka/10/2022/2022.845/2a.3b,EPI_ISL_16899221,2022.845,SriLanka,2a.3b,GISAID
A/Pakistan/GIHSN/ICT/969/2023/2023.133/2a.3b,EPI_ISL_16972586,969,Pakistan,2023,GISAID
A/Mauritius/P08894/2023/2023.021/2a.3b,EPI_ISL_17223808,2023.021,Mauritius,2a.3b,GISAID
A/Darwin/24/2021-egg/2021.61/2a.3,EPI_ISL_5522638,2021.61,Darwin,2a.3,GISAID
A/Darwin/24/2021/2021.61/2a.3,EPI_ISL_3837458,2021.61,Darwin,2a.3,GISAID
A/Bhutan/1137/2021/2021.99/2a.3,EPI_ISL_11497692,2021.99,Bhutan,2a.3,GISAID
A/Alaska/1/2021/2021.634/2a.3,EPI_ISL_5069995,2021.634,Alaska,2a.3,GISAID
A/Alaska/1/2021-egg/2021.634/2a.3,EPI_ISL_11105867,2021.634,Alaska,2a.3,GISAID
A/Singapore/SAR86232/2021/2021.889/2a.3,EPI_ISL_10910074,2021.889,Singapore,2a.3,GISAID
A/Ireland/82/2021/2021.895/2a.3,EPI_ISL_8808663,2021.895,Ireland,2a.3,GISAID
A/Belgium/H0006/2021/2021.675/2a.3,EPI_ISL_12240108,2021.675,Belgium,2a.3,GISAID
A/Brest/5762/2022/2022.056/2a.3,EPI_ISL_11814593,2022.056,Brest,2a.3,GISAID
A/England/214191723/2021/2021.779/2a.3,EPI_ISL_5935498,2021.779,England,2a.3,GISAID
A/Santiago/188970/2021/2021.916/2a.3,EPI_ISL_9525004,2021.916,Santiago,2a.3,GISAID
A/Victoria/9/2021/2021.952/2a.3,EPI_ISL_9673932,2021.952,Victoria,2a.3,GISAID
A/Hungary/9/2021/2021.933/2a.3,EPI_ISL_9593265,2021.933,Hungary,2a.3,GISAID
A/Qatar/25-VI-22-1930279/2022/2022.653/2a.3,EPI_ISL_16465252,2022.653,Qatar,2a.3,GISAID
A/SaintDenis/48407/2021/2021.93/2a.3,EPI_ISL_14795022,2021.93,SaintDenis,2a.3,GISAID
A/SaoPaulo/IAL/C9692/2021/2021.903/2a.3,EPI_ISL_13755534,2021,SaoPaulo,2021.903,GISAID
A/Paraiba/181445-IEC/2021/2021.719/2a.3,EPI_ISL_10830704,2021.719,Paraiba,2a.3,GISAID
A/Poland/PL80/2022/2022.914/2a.3,EPI_ISL_16759940,2022.914,Poland,2a.3,GISAID
A/SantaCatarina/1975/2022/2022.034/2a.3,EPI_ISL_11497653,2022.034,SantaCatarina,2a.3,GISAID
A/Valparaiso/64301/2022/2022.388/2a.3,EPI_ISL_16816401,2022.388,Valparaiso,2a.3,GISAID
A/VinaDelMar/90277/2022/2022.547/2a.3,EPI_ISL_14936973,2022.547,VinaDelMar,2a.3,GISAID
A/Trujillo/TRU02749/2022/2022.725/2a.3,EPI_ISL_17321862,2022.725,Trujillo,2a.3,GISAID
A/Uruguay/1046/2022/2022.179/2a.3,EPI_ISL_13284184,2022.179,Uruguay,2a.3,GISAID
A/Linares/70547/2022/2022.418/2a.3,EPI_ISL_14862715,2022.418,Linares,2a.3,GISAID
A/Ireland/2000/2022/2022.284/2a.3,EPI_ISL_14660257,2022.284,Ireland,2a.3,GISAID
A/Zambia/1315/2022/2022.508/2a.3,EPI_ISL_17212751,2022.508,Zambia,2a.3,GISAID
A/Zambia/9275/2022/2022.642/2a.3,EPI_ISL_17212750,2022.642,Zambia,2a.3,GISAID
A/Zambia/7161/2022/2022.273/2a.3,EPI_ISL_15393539,2022.273,Zambia,2a.3,GISAID
A/SriLanka/8/2022/2022.815/2a.3a,EPI_ISL_16899219,2022.815,SriLanka,2a.3a,GISAID
A/Singapore/SAR39241/2022/2022.319/2a.3a,EPI_ISL_13655483,2022.319,Singapore,2a.3a,GISAID
A/India/Kerala-NIVQC475/2021/2021.878/2a.3a,EPI_ISL_14854645,2021.878,India,2a.3a,GISAID
A/India/3402/2021/2021.758/2a.3a,EPI_ISL_8829794,2021.758,India,2a.3a,GISAID
A/Niger/10238/2021/2021.971/2a.3a,EPI_ISL_10828573,2021.971,Niger,2a.3a,GISAID
A/Niger/10322/2022/2022.015/2a.3a,EPI_ISL_10828549,2022.015,Niger,2a.3a,GISAID
A/Norway/29512/2021/2021.9/2a.3a,EPI_ISL_12240182,2021.9,Norway,2a.3a,GISAID
A/Yokohama/3/2023/2023.034/2a.3a,EPI_ISL_17297663,2023.034,Yokohama,2a.3a,GISAID
A/Thailand/25/2022/2022.842/2a.3a,EPI_ISL_16825351,2022.842,Thailand,2a.3a,GISAID
A/Togo/1960/2022/2022.738/2a.3a,EPI_ISL_16837185,2022.738,Togo,2a.3a,GISAID
A/Ghana/2122/2022/2022.39/2a.3a,EPI_ISL_14951644,2022.39,Ghana,2a.3a,GISAID
A/Nepal/22FL2210/2022/2022.525/2a.3a,EPI_ISL_14883637,2022.525,Nepal,2a.3a,GISAID
A/Niger/1864/2022/2022.758/2a.3a,EPI_ISL_15929510,2022.758,Niger,2a.3a,GISAID
A/UnitedKingdom/13538/2022/2022.774/2a.3a,EPI_ISL_16486048,2022.774,UnitedKingdom,2a.3a,GISAID
A/India/Kashmir-Niviso_22_06/2022/2022.401/2a.3a,EPI_ISL_14862707,2022.401,India,2a.3a,GISAID
A/Bahrain/4658/2022/2022.36/2a.3a.1,EPI_ISL_14036100,2022.36,Bahrain,2a.3a.1,GISAID
A/Massachusetts/18/2022/2022.423/2a.3a.1,EPI_ISL_13897304,2022.423,Massachusetts,2a.3a.1,GISAID
A/SuratThani/P4427/2022/2022.938/2a.3a.1,EPI_ISL_16645162,2022.938,SuratThani,2a.3a.1,GISAID
A/Tunisia/23669/2022/2022.949/2a.3a.1,EPI_ISL_16836682,2022.949,Tunisia,2a.3a.1,GISAID
A/AbuDhabi/2946/2022/2022.722/2a.3a.1,EPI_ISL_15928199,2022.722,AbuDhabi,2a.3a.1,GISAID
A/SuratThani/3897/2022/2022.823/2a.3a.1,EPI_ISL_16868616,2022.823,SuratThani,2a.3a.1,GISAID
A/Oman/9537/2022/2022.445/2a.3a.1,EPI_ISL_14862592,2022.445,Oman,2a.3a.1,GISAID
A/Wakayama/3/2022/2022.867/2a.3a.1,EPI_ISL_17244650,2022.867,Wakayama,2a.3a.1,GISAID
A/Victoria/77/2023/2023.1/2a.3a.1,EPI_ISL_17306140,2023.1,Victoria,2a.3a.1,GISAID
A/StPetersburg/RII-91V/2022/2022.914/2a.3a.1,EPI_ISL_16741217,2022.914,StPetersburg,2a.3a.1,GISAID
A/Thailand/9/2022/2022.527/2a.3a.1,EPI_ISL_14991371,2022.527,Thailand,2a.3a.1,GISAID
A/Thailand/22/2022/2022.725/2a.3a.1,EPI_ISL_16899255,2022.725,Thailand,2a.3a.1,GISAID
A/Victoria/59/2023/2023.062/2a.3a.1,EPI_ISL_16899277,2023.062,Victoria,2a.3a.1,GISAID
A/Haidian/12962/2023/2023.166/2a.3a.1,EPI_ISL_17239795,2023.166,Haidian,2a.3a.1,GISAID
A/Sejong/807/2023/2023.218/2a.3a.1,EPI_ISL_17375311,2023.218,Sejong,2a.3a.1,GISAID
A/Seoul/776/2023/2023.158/2a.3a.1,EPI_ISL_17256546,2023.158,Seoul,2a.3a.1,GISAID
A/Ulsan/65/2022/2022.832/2a.3a.1,EPI_ISL_16922207,2022.832,Ulsan,2a.3a.1,GISAID
