Isolate,Accession_number,Collection_time,Location,Global_clade,Source
A/Thailand/PY10316/2011/2011.604/3C,EPI_ISL_208787,2011.604,Thailand,3C,GISAID
A/Thailand/CU-C2417/2011/2011.936/3C,EPI_ISL_205351,2011.936,Thailand,3C,GISAID
A/Murmansk/RII06/2012/2012.346/3C,EPI_ISL_135914,2012.346,Murmansk,3C,GISAID
A/Yokohama/150/2011/2011.799/3C,EPI_ISL_100519,2011.799,Yokohama,3C,GISAID
A/Victoria/361/2011/2011.812/3C,EPI_ISL_167307,2011.812,Victoria,3C,GISAID
A/Singapore/KK171/2011/2011.325/3C,EPI_ISL_122974,2011.325,Singapore,3C,GISAID
A/Shandong-Tianqiao/1188/2011/2011.722/3C,EPI_ISL_100823,2011.722,Shandong-Tianqiao,3C,GISAID
A/Taiwan/1328/2011/2011.344/3C,EPI_ISL_94774,2011.344,Taiwan,3C,GISAID
A/Thailand/SR08183/2011/2011.459/3C,EPI_ISL_208804,2011.459,Thailand,3C,GISAID
A/Shanghai-Songjiang/154/2012/2012.023/3C,EPI_ISL_116071,2012.023,Shanghai-Songjiang,3C,GISAID
A/Taiwan/607/2012/2012.332/3C,EPI_ISL_122134,2012.332,Taiwan,3C,GISAID
A/Thailand/CU-B5873/2011/2011.812/3C,EPI_ISL_205348,2011.812,Thailand,3C,GISAID
A/Yokosuka/1/2012/2012.042/3C,EPI_ISL_113367,2012.042,Yokosuka,3C,GISAID
A/Norway/97/2012/2012.004/3C,EPI_ISL_107883,2012.004,Norway,3C,GISAID
A/Taiwan/194/2012/2012.122/3C,EPI_ISL_122211,2012.122,Taiwan,3C,GISAID
A/Yokohama/157/2011/2011.979/3C,EPI_ISL_103626,2011.979,Yokohama,3C,GISAID
A/Voronezh/2/2012/2012.316/3C,EPI_ISL_122173,2012.316,Voronezh,3C,GISAID
A/Voronezh/RII03/2012/2012.206/3C,EPI_ISL_135909,2012.206,Voronezh,3C,GISAID
A/Townsville/1/2012/2012.056/3C,EPI_ISL_121691,2012.056,Townsville,3C,GISAID
A/Texas/50/2012-egg/2012.288/3C,EPI_ISL_129744,2012.288,Texas,3C,GISAID
A/Texas/50/2012/2012.288/3C,EPI_ISL_122006,2012.288,Texas,3C,GISAID
A/VinaDelMar/49586/2012/2012.526/3C,EPI_ISL_128995,2012.526,VinaDelMar,3C,GISAID
A/Hawaii/22/2012/2012.52/3C,EPI_ISL_129745,2012.52,Hawaii,3C,GISAID
A/Taiwan/1488/2011/2011.881/3C,EPI_ISL_101342,2011.881,Taiwan,3C,GISAID
A/Tyumen/3/2012/2012.083/3C,EPI_ISL_132371,2012.083,Tyumen,3C,GISAID
A/Thailand/SN11650/2011/2011.716/3C,EPI_ISL_208792,2011.716,Thailand,3C,GISAID
A/Austria/111/2012/2012.551/3C,EPI_ISL_122350,2012.551,Austria,3C,GISAID
A/Slovenia/599/2012/2012.157/3C,EPI_ISL_121964,2012.157,Slovenia,3C,GISAID
A/Thailand/CU-B5928/2011/2011.873/3C,EPI_ISL_205350,2011.873,Thailand,3C,GISAID
A/Hyogo/1068/2011/2011.555/3C,EPI_ISL_97052,2011.555,Hyogo,3C,GISAID
A/Thailand/KS10406/2011/2011.563/3C,EPI_ISL_208777,2011.563,Thailand,3C,GISAID
A/Singapore/29/2012/2012.228/3C,EPI_ISL_128668,2012.228,Singapore,3C,GISAID
A/Yamagata/257/2012/2012.316/3C,EPI_ISL_122206,2012.316,Yamagata,3C,GISAID
A/Yokohama/152/2012/2012.559/3C,EPI_ISL_129034,2012.559,Yokohama,3C,GISAID
A/Taiwan/876/2012/2012.49/3C,EPI_ISL_132582,2012.49,Taiwan,3C,GISAID
A/Southaustralia/23/2012/2012.329/3C,EPI_ISL_122544,2012.329,Southaustralia,3C,GISAID
A/Zhejiang-Wuxin/130/2015/2015.018/3C,EPI_ISL_178035,2015.018,Zhejiang-Wuxin,3C,GISAID
A/Zhejiang-Nanxun/1614/2014/2014.59/3C,EPI_ISL_169737,2014.59,Zhejiang-Nanxun,3C,GISAID
A/Stockholm/25/2011/2011.667/3C,EPI_ISL_99212,2011.667,Stockholm,3C,GISAID
A/Denmark/87/2011/2011.675/3C,EPI_ISL_107844,2011.675,Denmark,3C,GISAID
A/Yokohama/145/2011/2011.684/3C,EPI_ISL_100513,2011.684,Yokohama,3C,GISAID
A/Thailand/CU-B6274/2012/2012.474/3C,EPI_ISL_205356,2012.474,Thailand,3C,GISAID
A/Vietnam/51/2012/2012.154/3C,EPI_ISL_133062,2012.154,Vietnam,3C,GISAID
A/Taiwan/216/2012/2012.165/3C,EPI_ISL_122212,2012.165,Taiwan,3C,GISAID
A/Hanoi/DN353/2011/2012.337/3C,EPI_ISL_17264840,2012.337,Hanoi,3C,GISAID
A/Taiwan/1449/2011/2011.823/3C,EPI_ISL_101340,2011.823,Taiwan,3C,GISAID
A/Hangzhou/B360/2012/2012.6/3C,EPI_ISL_191124,2012.6,Hangzhou,3C,GISAID
A/Wellington/3/2012/2012.389/3C,EPI_ISL_128646,2012.389,Wellington,3C,GISAID
A/Wellington/49/2012/2012.589/3C,EPI_ISL_134480,2012.589,Wellington,3C,GISAID
A/Christchurch/516/2012/2012.515/3C,EPI_ISL_128644,2012.515,Christchurch,3C,GISAID
A/Venezuela/72/2012/2012.485/3C,EPI_ISL_129162,2012.485,Venezuela,3C,GISAID
A/Thailand/MR11632/2012/2012.602/3C,EPI_ISL_208802,2012.602,Thailand,3C,GISAID
A/Wisconsin/20/2012/2012.561/3C,EPI_ISL_127830,2012.561,Wisconsin,3C,GISAID
A/Yamaguchi/23/2012/2012.367/3C,EPI_ISL_128328,2012.367,Yamaguchi,3C,GISAID
A/Haryana/9932/2012/2012.887/3C,EPI_ISL_161480,2012.887,Haryana,3C,GISAID
A/Dnipro/509/2013/2013.253/3C,EPI_ISL_145039,2013.253,Dnipro,3C,GISAID
A/Delhi/9874/2012/2012.827/3C,EPI_ISL_161479,2012.827,Delhi,3C,GISAID
A/HongKong/15/2013/2012.982/3C,EPI_ISL_136376,2012.982,HongKong,3C,GISAID
A/Mauritius/610/2013/2013.536/3C,EPI_ISL_150600,2013.536,Mauritius,3C,GISAID
A/Wisconsin/56/2012/2012.985/3C.3,EPI_ISL_196079,2012.985,Wisconsin,3C.3,GISAID
A/Taiwan/880/2012/2012.504/3C.3,EPI_ISL_132584,2012.504,Taiwan,3C.3,GISAID
A/HongKong/1036/2013/2013.152/3C.3,EPI_ISL_144522,2013.152,HongKong,3C.3,GISAID
A/Washington/50/2012/2012.736/3C.3,EPI_ISL_129773,2012.736,Washington,3C.3,GISAID
A/Yokohama/155/2012/2012.693/3C.3,EPI_ISL_132221,2012.693,Yokohama,3C.3,GISAID
A/Latvia/1-32593/2013/2013.015/3C.3,EPI_ISL_136386,2013.015,Latvia,3C.3,GISAID
A/Vladivostok/1/2013/2013.056/3C.3,EPI_ISL_148741,2013.056,Vladivostok,3C.3,GISAID
A/Vladivostok/73/2013/2013.242/3C.3,EPI_ISL_145469,2013.242,Vladivostok,3C.3,GISAID
A/Yamagata/31/2014/2014.078/3C.3,EPI_ISL_158175,2014.078,Yamagata,3C.3,GISAID
A/India/LKO4167/2013/2013.719/3C.3,EPI_ISL_161376,2013.719,India,3C.3,GISAID
A/Vietnam/1/2014/2014.023/3C.3,EPI_ISL_192827,2014.023,Vietnam,3C.3,GISAID
A/Wakayama/157/2013/2013.979/3C.3,EPI_ISL_158887,2013.979,Wakayama,3C.3,GISAID
A/TianjinHedong/1107/2013/2013.218/3C.3,EPI_ISL_155729,2013.218,TianjinHedong,3C.3,GISAID
A/Hangzhou/A544/2013/2013.653/3C.3,EPI_ISL_191136,2013.653,Hangzhou,3C.3,GISAID
A/Yunnan-Wenshan/1329/2013/2013.842/3C.3,EPI_ISL_153333,2013.842,Yunnan-Wenshan,3C.3,GISAID
A/Sichuan-Qingyang/1547/2013/2013.733/3C.3,EPI_ISL_153311,2013.733,Sichuan-Qingyang,3C.3,GISAID
A/Wisconsin/6/2013/2013.174/3C.3,EPI_ISL_139915,2013.174,Wisconsin,3C.3,GISAID
A/SouthAustralia/176/2012/2012.908/3C.3,EPI_ISL_137784,2012.908,SouthAustralia,3C.3,GISAID
A/Arges/126697/2012/2012.827/3C.3,EPI_ISL_134079,2012.827,Arges,3C.3,GISAID
A/Helsinki/991/2013/2013.166/3C.3,EPI_ISL_151127,2013.166,Helsinki,3C.3,GISAID
A/Mauritius/167/2013/2013.19/3C.3,EPI_ISL_150598,2013.19,Mauritius,3C.3,GISAID
A/Belgium/G0528/2013/2013.095/3C.3,EPI_ISL_144792,2013.095,Belgium,3C.3,GISAID
A/Paris/91/2013/2013.01/3C.3,EPI_ISL_136462,2013.01,Paris,3C.3,GISAID
A/Vietnam/481/2013/2013.758/3C.3,EPI_ISL_153526,2013.758,Vietnam,3C.3,GISAID
A/Bulgaria/270/2013/2013.095/3C.3,EPI_ISL_141668,2013.095,Bulgaria,3C.3,GISAID
A/Dakar/25/2012/2012.731/3C.3,EPI_ISL_136368,2012.731,Dakar,3C.3,GISAID
A/Nepal/23/2013/2013.084/3C.3,EPI_ISL_148075,2013.084,Nepal,3C.3,GISAID
A/StPetersburg/22/2013/2013.253/3C.3,EPI_ISL_140995,2013.253,StPetersburg,3C.3,GISAID
A/Tunisia/14680/2013/2013.895/3C.3,EPI_ISL_153948,2013.895,Tunisia,3C.3,GISAID
A/Togo/LNG/398/2013/2013.823/3C.3,EPI_ISL_162151,2013,Togo,2013.823,GISAID
A/Panama/313131/2013/2013.459/3C.3,EPI_ISL_145681,2013.459,Panama,3C.3,GISAID
A/Peru/114/2013/2013.281/3C.3,EPI_ISL_143252,2013.281,Peru,3C.3,GISAID
A/Wisconsin/8/2013/2013.267/3C.3,EPI_ISL_140986,2013.267,Wisconsin,3C.3,GISAID
A/Iceland/56/2013/2013.316/3C.3,EPI_ISL_144801,2013.316,Iceland,3C.3,GISAID
A/Iceland/4311/2013/2013.196/3C.3,EPI_ISL_144800,2013.196,Iceland,3C.3,GISAID
A/Santiago/82830/2013/2013.947/3C.3,EPI_ISL_157083,2013.947,Santiago,3C.3,GISAID
A/RioGrande/LACENRS-3171/2013/2013.612/3C.3,EPI_ISL_263262,2013.612,RioGrande,3C.3,GISAID
A/Wyoming/5/2013/2013.815/3C.3,EPI_ISL_151809,2013.815,Wyoming,3C.3,GISAID
A/SaoBorja/LACENRS-2679/2013/2013.558/3C.3,EPI_ISL_263212,2013.558,SaoBorja,3C.3,GISAID
A/Pakistan/499/2013/2013.656/3C.3,EPI_ISL_162602,2013.656,Pakistan,3C.3,GISAID
A/Nepal/998B/2013/2013.525/3C.3,EPI_ISL_174839,2013.525,Nepal,3C.3,GISAID
A/Srilanka/68/2013/2013.867/3C.3,EPI_ISL_161894,2013.867,Srilanka,3C.3,GISAID
A/Latvia/1-37023/2013/2013.034/3C.3,EPI_ISL_136387,2013.034,Latvia,3C.3,GISAID
A/Wyoming/3/2013/2013.105/3C.3,EPI_ISL_138967,2013.105,Wyoming,3C.3,GISAID
A/Tehran/63151/2013/2013.826/3C.3,EPI_ISL_154779,2013.826,Tehran,3C.3,GISAID
A/Netherlands/2247/2013/2013.81/3C.3,EPI_ISL_153710,2013.81,Netherlands,3C.3,GISAID
A/Parana/88/2014/2014.188/3C.3,EPI_ISL_166798,2014.188,Parana,3C.3,GISAID
A/Brazil/4964/2013/2013.856/3C.3,EPI_ISL_157765,2013.856,Brazil,3C.3,GISAID
A/Madagascar/493/2014/2014.133/3C.3,EPI_ISL_179363,2014.133,Madagascar,3C.3,GISAID
A/Madagascar/41/2014/2014.015/3C.3,EPI_ISL_159635,2014.015,Madagascar,3C.3,GISAID
A/Valparaiso/14542/2013/2013.16/3C.3,EPI_ISL_140994,2013.16,Valparaiso,3C.3,GISAID
A/PuertoRico/19/2013/2013.705/3C.3,EPI_ISL_150179,2013.705,PuertoRico,3C.3,GISAID
A/Leskovac/1655/2013/2013.196/3C.3,EPI_ISL_153173,2013.196,Leskovac,3C.3,GISAID
A/Waikato/1/2013/2013.199/3C.3,EPI_ISL_145323,2013.199,Waikato,3C.3,GISAID
A/Ireland/M26695/2013/2013.232/3C.3,EPI_ISL_145947,2013.232,Ireland,3C.3,GISAID
A/Latvia/12019591/2013/2013.941/3C.3,EPI_ISL_154032,2013.941,Latvia,3C.3,GISAID
A/Tokyo/13084/2013/2013.421/3C.3,EPI_ISL_146072,2013.421,Tokyo,3C.3,GISAID
A/Taiwan/741/2013/2013.47/3C.3,EPI_ISL_145566,2013.47,Taiwan,3C.3,GISAID
A/NewJersey/5/2013/2013.368/3C.3,EPI_ISL_143672,2013.368,NewJersey,3C.3,GISAID
A/HongKong/43/2013/2013.004/3C.3,EPI_ISL_136377,2013.004,HongKong,3C.3,GISAID
A/Iceland/4/2013/2013.01/3C.3,EPI_ISL_144023,2013.01,Iceland,3C.3,GISAID
A/Wyoming/2/2014/2014.012/3C.3,EPI_ISL_157101,2014.012,Wyoming,3C.3,GISAID
A/Yokohama/155/2013/2013.67/3C.3,EPI_ISL_152897,2013.67,Yokohama,3C.3,GISAID
A/Yokohama/153/2013/2013.278/3C.3,EPI_ISL_143708,2013.278,Yokohama,3C.3,GISAID
A/Dakar/20/2013/2013.333/3C.3,EPI_ISL_148466,2013.333,Dakar,3C.3,GISAID
A/Victoria/500/2013/2013.327/3C.3,EPI_ISL_145321,2013.327,Victoria,3C.3,GISAID
A/India/5757/2014/2014.029/3C.3,EPI_ISL_164429,2014.029,India,3C.3,GISAID
A/Victoria/657/2013/2013.829/3C.3,EPI_ISL_161317,2013.829,Victoria,3C.3,GISAID
A/Tasmania/3/2014/2014.015/3C.3,EPI_ISL_288232,2014.015,Tasmania,3C.3,GISAID
A/Tasmania/8/2014/2014.127/3C.3,EPI_ISL_165895,2014.127,Tasmania,3C.3,GISAID
A/Bulgaria/827/2014/2014.116/3C.3,EPI_ISL_162102,2014.116,Bulgaria,3C.3,GISAID
A/Yokohama/160/2013/2013.897/3C.3,EPI_ISL_152908,2013.897,Yokohama,3C.3,GISAID
A/Wellington/24/2014/2014.514/3C.3,EPI_ISL_168947,2014.514,Wellington,3C.3,GISAID
A/Ireland/23577/2014/2014.278/3C.3,EPI_ISL_164234,2014.278,Ireland,3C.3,GISAID
A/Victoria/232/2013/2013.862/3C.3,EPI_ISL_161322,2013.862,Victoria,3C.3,GISAID
A/Vietnam/210/2014/2014.453/3C.3,EPI_ISL_177542,2014.453,Vietnam,3C.3,GISAID
A/Washington/18/2013/2013.911/3C.3,EPI_ISL_166309,2013.911,Washington,3C.3,GISAID
A/StPetersburg/RII429S/2014/2014.092/3C.3,EPI_ISL_158769,2014.092,StPetersburg,3C.3,GISAID
A/StPetersburg/428/2013/2013.692/3C.3,EPI_ISL_151801,2013.692,StPetersburg,3C.3,GISAID
A/Macedonia/IK/2014/2014.114/3C.3,EPI_ISL_159633,2014.114,Macedonia,3C.3,GISAID
A/Yaroslavl/234/2014/2014.218/3C.3,EPI_ISL_165589,2014.218,Yaroslavl,3C.3,GISAID
A/Uruguay/180/2014/2014.44/3C.3,EPI_ISL_166827,2014.44,Uruguay,3C.3,GISAID
A/India/LKO3491/2013/2013.19/3C.3,EPI_ISL_161359,2013.19,India,3C.3,GISAID
A/Texas/14/2013/2013.601/3C.3,EPI_ISL_145675,2013.601,Texas,3C.3,GISAID
A/Nepal/481/2013/2013.601/3C.3,EPI_ISL_166849,2013.601,Nepal,3C.3,GISAID
A/Nepal/413/2013/2013.459/3C.3,EPI_ISL_148078,2013.459,Nepal,3C.3,GISAID
A/Van/354/2014/2014.045/3C.3,EPI_ISL_159639,2014.045,Van,3C.3,GISAID
A/Kazakhstan/3291/2013/2013.864/3C.3,EPI_ISL_154754,2013.864,Kazakhstan,3C.3,GISAID
A/RioGrandedoNorte/130380-IEC/2014/2014.396/3C.3,EPI_ISL_168551,2014.396,RioGrandedoNorte,3C.3,GISAID
A/CruzAlta/LACENRS-2045/2014/2014.634/3C.3,EPI_ISL_263268,2014.634,CruzAlta,3C.3,GISAID
A/Brazil/9879/2014/2014.13/3C.3,EPI_ISL_168114,2014.13,Brazil,3C.3,GISAID
A/Iceland/8202/2014/2014.44/3C.3,EPI_ISL_164226,2014.44,Iceland,3C.3,GISAID
A/Tocantins/16261/2015/2015.133/3C.3,EPI_ISL_176764,2015.133,Tocantins,3C.3,GISAID
A/Paraguay/3144/2014/2014.886/3C.3,EPI_ISL_172529,2014.886,Paraguay,3C.3,GISAID
A/Bage/LACENRS-1200/2014/2014.475/3C.3,EPI_ISL_263274,2014.475,Bage,3C.3,GISAID
A/Santiago/70123/2014/2014.818/3C.3,EPI_ISL_171369,2014.818,Santiago,3C.3,GISAID
A/Tocantins/18288/2015/2015.166/3C.3,EPI_ISL_176767,2015.166,Tocantins,3C.3,GISAID
A/CruzAlta/LACENRS-2623/2014/2014.799/3C.3,EPI_ISL_263223,2014.799,CruzAlta,3C.3,GISAID
A/SantaCruzdoSul/LACENRS-1625/2014/2014.552/3C.3,EPI_ISL_263136,2014.552,SantaCruzdoSul,3C.3,GISAID
A/Viamao/LACENRS-733/2014/2014.404/3C.3,EPI_ISL_263237,2014.404,Viamao,3C.3,GISAID
A/Sapporo/116/2014/2013.188/3C.3,EPI_ISL_160170,2013.188,Sapporo,3C.3,GISAID
A/Wisconsin/45/2013/2013.955/3C.3,EPI_ISL_154818,2013.955,Wisconsin,3C.3,GISAID
A/VelikyNovgorod/223/2014/2014.267/3C.3,EPI_ISL_165586,2014.267,VelikyNovgorod,3C.3,GISAID
B/Victoria/108/2015/2015.695/3C.3,EPI_ISL_255542,2015.695,Victoria,3C.3,GISAID
A/SriLanka/48/2014/2014.538/3C.3,EPI_ISL_171815,2014.538,SriLanka,3C.3,GISAID
A/Srilanka/42/2014/2014.423/3C.3,EPI_ISL_168921,2014.423,Srilanka,3C.3,GISAID
A/Oman/3676/2014/2014.467/3C.3b,EPI_ISL_168985,2014.467,Oman,3C.3b,GISAID
A/Lithuania/10716/2014/2014.275/3C.3b,EPI_ISL_165564,2014.275,Lithuania,3C.3b,GISAID
A/Lithuania/5879/2014/2014.152/3C.3b,EPI_ISL_165567,2014.152,Lithuania,3C.3b,GISAID
A/Lithuania/11496/2014/2014.295/3C.3b,EPI_ISL_166229,2014.295,Lithuania,3C.3b,GISAID
A/Taiwan/504/2015/2015.207/3C.3b,EPI_ISL_193020,2015.207,Taiwan,3C.3b,GISAID
A/Taiwan/775/2015/2015.385/3C.3b,EPI_ISL_193029,2015.385,Taiwan,3C.3b,GISAID
A/Belgium/H80/2014/2014.744/3C.3b,EPI_ISL_170275,2014.744,Belgium,3C.3b,GISAID
A/Poland/1900/2015/2015.253/3C.3b,EPI_ISL_193174,2015.253,Poland,3C.3b,GISAID
A/Ukraine/6808/2015/2015.278/3C.3b,EPI_ISL_190938,2015.278,Ukraine,3C.3b,GISAID
A/Tucuman/I2377/2014/2014.733/3C.3b,EPI_ISL_172636,2014.733,Tucuman,3C.3b,GISAID
A/Victoria/503/2014/2014.341/3C.3b,EPI_ISL_288226,2014.341,Victoria,3C.3b,GISAID
A/Victoria/5076/2014/2014.821/3C.3b,EPI_ISL_288174,2014.821,Victoria,3C.3b,GISAID
A/Norway/3011/2014/2014.766/3C.3b,EPI_ISL_169230,2014.766,Norway,3C.3b,GISAID
A/Madrid/SO12318/2014/2014.445/3C.3b,EPI_ISL_165572,2014.445,Madrid,3C.3b,GISAID
A/Kenya/258/2013/2013.056/3C.3,EPI_ISL_145934,2013.056,Kenya,3C.3,GISAID
A/Kenya/118/2013/2013.325/3C.3,EPI_ISL_144299,2013.325,Kenya,3C.3,GISAID
A/Tanzania/3100/2013/2013.963/3C.3,EPI_ISL_157092,2013.963,Tanzania,3C.3,GISAID
A/RiodeJaneiro/34/2014/2014.059/3C.3,EPI_ISL_166795,2014.059,RiodeJaneiro,3C.3,GISAID
A/Brazil/3459/2013/2013.585/3C.3,EPI_ISL_148739,2013.585,Brazil,3C.3,GISAID
A/Zambia/13/109/2013/2013.722/3C.3,EPI_ISL_162154,2013,Zambia,2013.722,GISAID
A/Uganda/1590/2014/2014.399/3C.3,EPI_ISL_177540,2014.399,Uganda,3C.3,GISAID
A/Rwanda/211/2014/2014.188/3C.3,EPI_ISL_160182,2014.188,Rwanda,3C.3,GISAID
A/SouthAfrica/4671/2013/2013.481/3C.3,EPI_ISL_145495,2013.481,SouthAfrica,3C.3,GISAID
A/Zambia/13/127/2013/2013.612/3C.3,EPI_ISL_162155,2013,Zambia,2013.612,GISAID
A/Southafrica/4952/2014/2014.475/3C.3,EPI_ISL_168912,2014.475,Southafrica,3C.3,GISAID
A/SouthAfrica/5416/2014/2014.5/3C.3,EPI_ISL_165652,2014.5,SouthAfrica,3C.3,GISAID
A/Zambia/6-037/2014/2014.275/3C.3,EPI_ISL_175068,2014.275,Zambia,3C.3,GISAID
A/Zambia/4-303/2014/2014.87/3C.3,EPI_ISL_171762,2014.87,Zambia,3C.3,GISAID
A/Zambia/4-288/2014/2014.944/3C.3,EPI_ISL_179373,2014.944,Zambia,3C.3,GISAID
A/Zambia/6-024/2014/2014.705/3C.3,EPI_ISL_175067,2014.705,Zambia,3C.3,GISAID
A/Zambia/4-00021/2015/2015.07/3C.3,EPI_ISL_201640,2015.07,Zambia,3C.3,GISAID
A/Zambia/2-00106/2015/2015.229/3C.3,EPI_ISL_201645,2015.229,Zambia,3C.3,GISAID
A/Hangzhou/A469/2013/2013.574/3C.3,EPI_ISL_191134,2013.574,Hangzhou,3C.3,GISAID
A/Wisconsin/6/2014/2014.185/3C.3,EPI_ISL_159525,2014.185,Wisconsin,3C.3,GISAID
A/Wisconsin/5/2014/2014.13/3C.3,EPI_ISL_158076,2014.13,Wisconsin,3C.3,GISAID
A/Venezuela/7/2014/2014.59/3C.3,EPI_ISL_172735,2014.59,Venezuela,3C.3,GISAID
A/Viamao/LACENRS-974/2015/2015.385/3C.3,EPI_ISL_263252,2015.385,Viamao,3C.3,GISAID
A/Suzhou/1275/2013/2013.256/3C.3,EPI_ISL_153076,2013.256,Suzhou,3C.3,GISAID
A/WestVirginia/6/2013/2013.552/3C.3,EPI_ISL_145124,2013.552,WestVirginia,3C.3,GISAID
A/Para/129501-IEC/2014/2014.289/3C.3,EPI_ISL_168563,2014.289,Para,3C.3,GISAID
A/Tuvalu/2/2013/2013.333/3C.3,EPI_ISL_151474,2013.333,Tuvalu,3C.3,GISAID
A/Wyoming/1/2013/2013.007/3C.3,EPI_ISL_134766,2013.007,Wyoming,3C.3,GISAID
A/Valparaiso/47927/2014/2014.571/3C.3,EPI_ISL_169834,2014.571,Valparaiso,3C.3,GISAID
A/Srilanka/27/2013/2013.158/3C.3,EPI_ISL_148747,2013.158,Srilanka,3C.3,GISAID
A/Yamaguchi/31/2012/2012.876/3C.3,EPI_ISL_132580,2012.876,Yamaguchi,3C.3,GISAID
A/Yokohama/159/2012/2012.832/3C.3,EPI_ISL_132501,2012.832,Yokohama,3C.3,GISAID
A/Stockholm/6/2014/2014.1/3C.3,EPI_ISL_166996,2014.1,Stockholm,3C.3,GISAID
A/Austria/96/2014/2014.486/3C.3,EPI_ISL_164162,2014.486,Austria,3C.3,GISAID
A/Srilanka/29/2014/2014.382/3C.3,EPI_ISL_166031,2014.382,Srilanka,3C.3,GISAID
A/Wisconsin/27/2014/2014.593/3C.3,EPI_ISL_167954,2014.593,Wisconsin,3C.3,GISAID
A/Oman/4289/2014/2014.571/3C.3,EPI_ISL_168986,2014.571,Oman,3C.3,GISAID
A/Wisconsin/11/2014/2014.388/3C.3,EPI_ISL_164720,2014.388,Wisconsin,3C.3,GISAID
A/Uruguay/86/2015/2015.61/3C.3,EPI_ISL_199504,2015.61,Uruguay,3C.3,GISAID
A/Zonguldak/3161/2016/2016.097/3C.3,EPI_ISL_232877,2016.097,Zonguldak,3C.3,GISAID
A/Norway/2665/2015/2015.856/3C.3,EPI_ISL_209094,2015.856,Norway,3C.3,GISAID
A/Finland/586/2016/2016.124/3C.3,EPI_ISL_226086,2016.124,Finland,3C.3,GISAID
A/Switzerland/9715293/2013-egg/2013.93/3C.3a,EPI_ISL_165829,2013.93,Switzerland,3C.3a,GISAID
A/Macau/610289/2014/2014.075/3C.3a,EPI_ISL_166137,2014.075,Macau,3C.3a,GISAID
A/Kobe/63/2014/2014.385/3C.3a,EPI_ISL_169606,2014.385,Kobe,3C.3a,GISAID
A/Yokohama/89/2014/2014.738/3C.3a,EPI_ISL_169193,2014.738,Yokohama,3C.3a,GISAID
A/Waikato/8/2014/2014.467/3C.3a,EPI_ISL_168945,2014.467,Waikato,3C.3a,GISAID
A/Wellington/81/2014/2014.637/3C.3a,EPI_ISL_168963,2014.637,Wellington,3C.3a,GISAID
A/Vietnam/594/2014/2014.621/3C.3a,EPI_ISL_172795,2014.621,Vietnam,3C.3a,GISAID
A/Shandong-Zhifu/1499/2014/2014.76/3C.3a,EPI_ISL_279459,2014.76,Shandong-Zhifu,3C.3a,GISAID
A/Vietnam/630/2014/2014.955/3C.3a,EPI_ISL_172604,2014.955,Vietnam,3C.3a,GISAID
A/Vietnam/627/2014/2014.873/3C.3a,EPI_ISL_172605,2014.873,Vietnam,3C.3a,GISAID
A/Victoria/806/2014/2014.322/3C.3a,EPI_ISL_288224,2014.322,Victoria,3C.3a,GISAID
A/Jiangxi-Donghu/11101/2014/2014.442/3C.3a,EPI_ISL_168374,2014.442,Jiangxi-Donghu,3C.3a,GISAID
A/Nepal/464/2014/2014.237/3C.3a,EPI_ISL_213039,2014.237,Nepal,3C.3a,GISAID
A/Wakayama-C/88/2014/2014.464/3C.3a,EPI_ISL_166857,2014.464,Wakayama-C,3C.3a,GISAID
A/Guangdong/753/2014/2014.366/3C.3a,EPI_ISL_272698,2014.366,Guangdong,3C.3a,GISAID
A/Yunnan-Wenshan/1904/2014/2014.916/3C.3a,EPI_ISL_169668,2014.916,Yunnan-Wenshan,3C.3a,GISAID
A/Nepal/1642A/2014/2014.673/3C.3a,EPI_ISL_176600,2014.673,Nepal,3C.3a,GISAID
A/India/6216/2014/2014.1/3C.3a,EPI_ISL_165321,2014.1,India,3C.3a,GISAID
A/Madagascar/3069/2014/2014.807/3C.3a,EPI_ISL_171756,2014.807,Madagascar,3C.3a,GISAID
A/Madagascar/2395/2014/2014.648/3C.3a,EPI_ISL_175039,2014.648,Madagascar,3C.3a,GISAID
A/Nepal/1564/2014/2014.599/3C.3a,EPI_ISL_213044,2014.599,Nepal,3C.3a,GISAID
A/Nepal/630/2014/2014.273/3C.3a,EPI_ISL_213040,2014.273,Nepal,3C.3a,GISAID
A/Tianjin-Hexi/195/2015/2015.086/3C.3a,EPI_ISL_178032,2015.086,Tianjin-Hexi,3C.3a,GISAID
A/Ulaanbaatar/4846/2014/2014.974/3C.3a,EPI_ISL_171869,2014.974,Ulaanbaatar,3C.3a,GISAID
A/Virginia/8/2014/2014.264/3C.3a,EPI_ISL_160203,2014.264,Virginia,3C.3a,GISAID
A/Switzerland/9715293/2013/2013.93/3C.3a,EPI_ISL_162149,2013.93,Switzerland,3C.3a,GISAID
A/Vietnam/7/2014/2014.407/3C.3a,EPI_ISL_192833,2014.407,Vietnam,3C.3a,GISAID
A/Tasmania/11/2014/2014.204/3C.3a,EPI_ISL_288221,2014.204,Tasmania,3C.3a,GISAID
A/SouthAustralia/55/2014/2014.492/3C.3a,EPI_ISL_288203,2014.492,SouthAustralia,3C.3a,GISAID
A/Finland/440/2014/2014.322/3C.3a,EPI_ISL_165549,2014.322,Finland,3C.3a,GISAID
A/Norway/466/2014/2014.092/3C.3a,EPI_ISL_162129,2014.092,Norway,3C.3a,GISAID
