Isolate,Accession_number,Collection_time,Country,Continent,Clade,Source
ERR229924,ERR229924,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR158613,ERR158613,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144633,ERR144633,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137281,ERR137281,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133959,ERR133959,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108475,ERR108475,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133831,ERR133831,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137220,ERR137220,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137277,ERR137277,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133886,ERR133886,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229946,ERR229946,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144597,ERR144597,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144615,ERR144615,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR158592,ERR158592,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133806,ERR133806,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067620,ERR067620,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067695,ERR067695,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137222,ERR137222,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133902,ERR133902,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137204,ERR137204,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234653,ERR234653,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067613,ERR067613,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR227996,ERR227996,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
